Model,RMSE,MAE,Precision@15,Recall@15
Baseline RS,0.9376838633282986,0.7379386735592934,0.5888796312976642,0.03657182873471484
Collaborative Filtering User Cosine,1.0019699729781513,0.7725412126585517,0.35,0.10223962157898026
Collaborative Filtering User Pearson,1.0019699729781513,0.7725412126585517,0.35,0.10223962157898026
Collaborative Filtering Item Cosine,3.418077762085438,2.8001392351926047,0.03666666666666667,0.007064352342176542
Collaborative Filtering Item Pearson,4.008054322113756,3.1417676066476314,0.016666666666666666,0.0036521282693823946
SVD,0.942413314903554,0.7213036504177118,0.5669000933706817,0.31044596312767064
Hybrides KNN,1.0129650364139018,0.7791524971389292,0.7221935089703684,0.5894447375322599
